"","feature","EM_Feature_velocity_585","EM_Feature_o2os_585","EM_Feature_phos_585","EM_Feature_tos_585"
"230","Aglaophamus_verrilli",35.1694915254237,30.5084745762712,33.0508474576271,31.3559322033898
"231","Aglaophenia_cupressina",51.2362637362637,51.9230769230769,52.8846153846154,49.3131868131868
"232","Aglaophenia_lophocarpa",36.2007168458781,30.4659498207885,31.5412186379928,31.1827956989247
"233","Aglaophenia_postdentata",48.9260143198091,48.9260143198091,50.3579952267303,46.8973747016706
"234","Aglaura_hemistoma",44.8275862068966,46.5869106263195,47.9239971850809,44.8275862068966
"235","Agnezia_glaciata",70.8333333333333,75,91.6666666666667,41.6666666666667
"236","Agononida_incerta",47.893175074184,48.3679525222552,48.9614243323442,47.7744807121662
"237","Agononida_simillima",30.2325581395349,30.2325581395349,31.0077519379845,31.3953488372093
"238","Agononida_squamosa",48.547215496368,49.273607748184,49.273607748184,48.365617433414
"239","Ahliesaurus_berryi",30.486902471511,30.486902471511,30.5135415125055,30.5431404469439
"240","Ahliesaurus_brevis",58.1532416502947,60.3143418467583,60.7072691552063,61.6895874263261
"241","Aidanosagitta_neglecta",45.2535760728218,46.0338101430429,47.7893368010403,45.1235370611183
"242","Aidanosagitta_oceania",51.0428100987925,50.2744237102086,52.1405049396268,50.7135016465423
"243","Aidanosagitta_regularis",47.9497907949791,48.8702928870293,49.7907949790795,48.7029288702929
"244","Aioliops_megastigma",56.1507936507937,55.952380952381,55.1587301587302,53.7698412698413
"245","Aioliops_novaeguineae",54.9393414211439,54.2461005199307,54.0727902946274,52.5129982668977
"246","Aioliops_tetrophthalmus",33.3333333333333,35.1351351351351,32.4324324324324,33.3333333333333
"247","Aipysurus_duboisii",51.1228533685601,51.3870541611625,52.7080581241744,49.4055482166447
"248","Aipysurus_eydouxii",52.6829268292683,53.1707317073171,52.8455284552846,50.4065040650407
"249","Aipysurus_laevis",50.4010695187166,50.4010695187166,51.0695187165775,47.9946524064171
"250","Akera_soluta",48.4902309058615,50.9769094138544,51.6873889875666,47.4245115452931
"251","Alainodaeus_nuku",33.3333333333333,32.0261437908497,33.3333333333333,35.9477124183007
"252","Alainodaeus_rimatara",37.7777777777778,38.0246913580247,37.7777777777778,33.2098765432099
"253","Alainosquilla_foresti",49.9420625724218,52.143684820394,53.4183082271147,49.1309385863268
"254","Alatina_alata",40.3329065300896,41.1743186391074,40.6072800438998,41.3389427473935
"255","Alaysia_spiralis",38.3676177836762,39.0311877903119,39.1240875912409,40.1061712010617
"256","Albula_argentea",47.9394449116905,48.444070647603,49.2851135407906,46.5937762825904
"257","Albula_oligolepis",50.9036144578313,51.8072289156626,51.2048192771084,46.9879518072289
"258","Albunea_bulla",40.2877697841727,43.8848920863309,45.8033573141487,36.21103117506
"259","Albunea_microps",47.4774774774775,49.1891891891892,50.2702702702703,46.6666666666667
"260","Alderina_tuberosa",49.8783454987835,50.9326845093268,52.4736415247364,49.3917274939173
"261","Alectis_ciliaris",46.2865716429107,47.3368342085521,49.5123780945236,45.4613653413353
"262","Alectis_indica",47.1491228070175,47.8070175438597,48.9035087719298,46.3815789473684
"263","Alectona_triradiata",34.453781512605,39.4957983193277,38.655462184874,30.2521008403361
"264","Alectryonella_plicatula",49.5483870967742,50.3225806451613,50.7096774193548,45.9354838709677
"265","Alepes_apercna",52.9874213836478,52.6729559748428,53.3018867924528,51.8867924528302
"266","Alepes_djedaba",47.1376370280146,48.1120584652862,48.1120584652862,46.6504263093788
"267","Alepes_vari",51.4503816793893,51.9083969465649,51.2977099236641,49.1603053435115
"268","Alepisaurus_ferox",30.6776249580678,31.0432740691043,30.8856088560886,31.1405568601141
"269","Aliaporcellana_suluensis",47.1586089906701,48.8549618320611,50.2120441051739,46.6497031382528
"270","Alima_hieroglyphica",48.8069414316703,50.1084598698482,50.6507592190889,46.3123644251627
"271","Alimopsoides_tuberculatus",33.0855018587361,41.2639405204461,40.1486988847584,30.8550185873606
"272","Alionematichthys_crassiceps",50.5660377358491,51.6981132075472,52.3270440251572,49.0566037735849
"273","Alionematichthys_piger",45.9888800635425,46.703733121525,48.3717235901509,44.5591739475774
"274","Alionematichthys_riukiuensis",48.5798237022527,49.951028403526,50.7345739471107,46.718903036239
"275","Alionematichthys_winterbottomi",32.843137254902,34.8039215686275,36.2745098039216,35.2941176470588
"276","Allocyttus_verrucosus",81.9672131147541,77.0491803278689,84.6994535519126,78.6885245901639
"277","Alloeocomatella_pectinifera",47.9185119574845,48.9813994685562,50.3100088573959,47.9185119574845
"278","Alloeocomatella_polycladia",48.2613277133825,49.9473129610116,49.6311907270811,46.259220231823
"279","Allogalathea_elegans",48.1953290870488,49.0445859872611,50.5307855626327,47.23991507431
"280","Allosergestes_sargassi",33.5766423357664,30.7612095933264,30.3441084462982,30.8654848800834
"281","Allothunnus_fallai",33.3139365725924,31.3063718359034,32.4701774803608,33.5757928425953
"282","Alopias_pelagicus",32.3258461856951,32.0618983542076,32.2947934996377,32.0877755925888
"283","Alopias_superciliosus",30.6232602349107,31.0306198655713,30.8744653404848,31.3021929526784
"284","Alopias_vulpinus",32.103487064117,32.0404949381327,32.29696287964,32.2609673790776
"285","Alox_ornatum",49.1198658843252,50.8801341156748,52.8080469404862,48.9522212908634
"286","Alpheopsis_aequalis",45.2979181622398,46.0157932519742,47.5951184493898,44.3646805455851
"287","Alpheopsis_diabolus",46.3888888888889,47.4074074074074,48.6111111111111,44.0740740740741
"288","Alpheopsis_trispinosus",50.9090909090909,51.030303030303,52.969696969697,50.1818181818182
"289","Alpheus_acutocarinatus",52.4737631184408,52.1739130434783,52.7736131934033,50.9745127436282
"290","Alpheus_acutofemoratus",47.0873786407767,47.378640776699,48.7378640776699,45.5339805825243
"291","Alpheus_alcyone",45.6744868035191,46.1143695014663,47.8739002932551,44.574780058651
"292","Alpheus_barbatus",51.7087667161961,51.1144130757801,51.1144130757801,48.5884101040119
"293","Alpheus_bellimanus",33.1168831168831,32.4675324675325,34.4155844155844,35.0649350649351
"294","Alpheus_bidens",45.171588188348,47.0071827613727,47.7254588986433,44.6129289704709
"295","Alpheus_bisincisus",51.9345238095238,52.2321428571429,53.422619047619,51.4880952380952
"296","Alpheus_bradypus",45.4954954954955,46.2462462462462,46.6966966966967,42.9429429429429
"297","Alpheus_brevipes",49.1,49.1,49.7,46.4
"298","Alpheus_bucephalus",45.3237410071942,45.9712230215827,47.6978417266187,44.3884892086331
"299","Alpheus_canaliculatus",52.3929471032746,52.6448362720403,54.2821158690176,50.8816120906801
"300","Alpheus_clypeatus",42.5178147268409,43.2304038004751,45.249406175772,41.5676959619952
"301","Alpheus_coetivensis",49.1825613079019,49.3188010899183,50.2724795640327,48.6376021798365
"302","Alpheus_collumianus",45.5278592375367,46.0410557184751,47.8739002932551,44.7947214076246
"303","Alpheus_compressus",47.037037037037,48.0740740740741,49.2592592592593,47.3333333333333
"304","Alpheus_coutierei",45.4117647058823,45.7647058823529,47.5294117647059,44.8235294117647
