"","feature","MM-NorESM2-MM_Percentile_phos_585","MM-IPSL-CM6A-LR_Percentile_phos_585","MM-GFDL-ESM4_Percentile_phos_585","MM-CMCC-ESM2_Percentile_phos_585","MM-CanESM5_Percentile_phos_585","EM_Percentile_phos_585"
"680","Argyropelecus_sladeni",72.3522653837869,70.3561427443096,63.3553529116105,68.7441660084727,72.2481510734544,71.4619085230129
"681","Argyropeza_divina",75.8776896942242,76.3306908267271,76.6704416761042,77.6896942242356,78.0294450736127,77.916194790487
"682","Argyrops_spinifer",79.2592592592593,79.1534391534392,78.4126984126984,80.6349206349206,81.0582010582011,80.4232804232804
"683","Aricidea_fragilis",84.5170454545455,82.3863636363636,82.6704545454545,82.9545454545455,80.3977272727273,84.8011363636364
"684","Ariomma_brevimanum",83.2604622111181,82.7607745159276,82.3235477826359,81.6364772017489,82.3235477826359,84.6346033728919
"685","Ariosoma_anago",82.4693685202639,81.3383600377003,79.2648444863337,81.9038642789821,80.6786050895382,82.4693685202639
"686","Ariosoma_anagoides",82.2695035460993,80.7722616233254,79.7478329393223,80.4570527974783,79.9054373522459,82.4271079590228
"687","Ariosoma_fasciatum",84.160756501182,82.74231678487,82.0330969267139,82.74231678487,81.7966903073286,85.263987391647
"688","Ariosoma_howensis",83.1702544031311,78.4735812133072,75.9295499021526,74.9510763209393,75.5381604696673,82.7788649706458
"689","Ariosoma_megalops",81.3559322033898,80.225988700565,69.4915254237288,83.6158192090395,81.9209039548023,67.7966101694915
"690","Ariosoma_scheelei",83.5807860262009,82.707423580786,81.4847161572052,82.6200873362445,82.0087336244541,85.5021834061135
"691","Aristaeomorpha_foliacea",76.4634146341463,76.6260162601626,76.1788617886179,75.2845528455285,75.8130081300813,78.739837398374
"692","Aristeus_semidentatus",78.0743243243243,77.7027027027027,77.9054054054054,75.3716216216216,76.8918918918919,79.3581081081081
"693","Aristeus_virilis",74.5662968184883,73.7142156562251,63.1275669711273,72.7334028075768,76.8037761294673,75.2773861337584
