"","feature","percentile_tos_245","percentile_tos_126","imptfeature_velocity_585","imptfeature_o2os_585","imptfeature_phos_585","imptfeature_tos_585","penalty_velocity_585","penalty_o2os_585","penalty_phos_585","penalty_tos_585","feature_velocity_585","feature_o2os_585","feature_phos_585","feature_tos_585","percentile_velocity_585","percentile_o2os_585","percentile_phos_585","percentile_tos_585","uninformed"
"3223","Eviota_bipunctata",88.5964912280702,93.5672514619883,100,100,100,100,46.8237704918033,44.9795081967213,46.5163934426229,43.8524590163934,48.7704918032787,50,51.1270491803279,45.7991803278689,47.6608187134503,46.0526315789474,44.0058479532164,44.5906432748538,45.7991803278689
"3224","Eviota_cometa",89.4039735099338,90.728476821192,100,100,100,100,50.6387921022067,45.7607433217189,47.1544715447154,44.0185830429733,48.548199767712,49.0127758420441,49.8257839721254,46.9221835075494,46.1920529801325,45.8609271523179,45.364238410596,44.0397350993377,45.7607433217189
"3225","Eviota_distigma",89.6,91.2,100,100,100,100,50.6069094304388,47.6190476190476,44.3510737628385,47.6190476190476,46.9654528478058,47.7124183006536,49.0196078431373,45.8450046685341,46.4,46.2666666666667,47.2,44.5333333333333,44.6311858076564
"3226","Eviota_dorsogilva",91.015625,95.3125,100,100,100,100,47.5342465753425,42.3287671232877,48.9041095890411,42.1917808219178,52.0547945205479,52.4657534246575,52.6027397260274,50.5479452054795,48.4375,44.921875,43.9453125,44.921875,47.6712328767123
"3227","Eviota_fallax",92.9577464788732,96.7136150234742,100,100,100,100,37.7265238879736,41.5156507413509,49.0939044481054,39.7034596375618,53.5420098846787,53.8714991762768,52.7182866556837,51.7298187808896,48.109243697479,45.0704225352113,43.4272300469484,47.4178403755869,48.7644151565074
"3228","Eviota_fasciola",90.6040268456376,90.9395973154362,100,100,100,100,55.4117647058823,47.8823529411765,45.2941176470588,50.4705882352941,49.5294117647059,50.7058823529412,51.0588235294118,48.4705882352941,46.4765100671141,47.986577181208,48.1543624161074,44.7986577181208,46.5882352941176
"3229","Eviota_herrei",88.9724310776942,91.4786967418546,100,100,100,100,44.8639157155399,41.7032484635645,44.0737489025461,41.0008779631255,46.0930640913082,46.7076382791923,47.9367866549605,43.7225636523266,46.8671679197995,44.7368421052632,43.3583959899749,43.984962406015,42.9323968393327
"3230","Eviota_hoesei",90.273556231003,93.6170212765958,100,100,100,100,45.6869009584665,45.7933972310969,47.4973375931842,43.8764643237487,49.6272630457934,50.692225772098,50.9052183173589,47.0713525026624,47.5683890577508,46.2006079027356,43.7689969604863,44.5288753799392,46.9648562300319
"3231","Eviota_infulata",90.1492537313433,91.3432835820896,100,100,100,100,52.1966527196653,46.8619246861925,42.9916317991632,48.0125523012552,46.652719665272,46.7573221757322,48.0125523012552,45.0836820083682,46.2686567164179,47.6119402985075,48.4817813765182,44.6268656716418,43.2008368200837
"3232","Eviota_irrasa",89.6341463414634,89.6341463414634,100,100,100,100,62.1794871794872,41.6666666666667,42.5213675213675,43.8034188034188,43.8034188034188,43.5897435897436,44.6581196581197,42.0940170940171,44.5121951219512,47.5609756097561,48.8505747126437,44.2073170731707,39.5299145299145
