"","feature","EM_Percentile_CombinedMetric_585","EM_Percentile_MHW_585","EM_Percentile_velocity_585","EM_Percentile_o2os_585","EM_Percentile_phos_585","EM_Percentile_tos_585"
"20","Acanthastrea_ishigakiensis",52.7803958529689,71.9132893496701,66.0697455230914,45.9943449575872,75.306314797361,64.373232799246
"21","Acanthaxius_miyazakiensis",53.0088495575221,73.0088495575221,64.6902654867257,44.1592920353982,74.070796460177,63.3628318584071
"22","Acanthaxius_spinosissimus",54.0322580645161,72.8494623655914,67.6075268817204,46.9086021505376,79.5698924731183,63.5752688172043
"23","Acanthella_cavernosa",53.7282941777324,72.0122574055158,65.6792645556691,45.8631256384065,75.8937691521961,63.2277834525025
"24","Acanthella_costata",58.2481751824818,70.8029197080292,71.5328467153285,50.0729927007299,79.8540145985401,63.2116788321168
"25","Acanthephyra_eximia",42.2778771615981,69.162620325411,65.4059119175398,39.2282136468183,69.7418860209558,71.4200528154017
"26","Acanthephyra_quadrispinosa",45.8435809149041,71.0772257747172,62.6660108214461,39.5966551893753,69.0113133300541,61.4854894244958
"27","Acanthephyra_smithi",37.3525920063316,49.1491887613771,48.5318559556787,34.788286505738,56.0506529481599,55.1286110011872
"28","Acanthochaetetes_wellsi",57.8352180936995,76.0904684975767,73.5056542810985,52.5040387722132,84.0064620355412,74.9596122778675
"29","Acanthocybium_solandri",37.5517617144933,52.8804940065383,49.6803487104976,35.8372684344352,56.7090446785325,56.1169633127497
"30","Acanthodendrilla_australis",50,74.6268656716418,74.6268656716418,43.2835820895522,93.2835820895522,62.6865671641791
"31","Acanthogorgia_spinosa",67.0588235294118,82.9411764705882,77.0588235294118,60,92.9411764705882,74.7058823529412
"32","Acanthophora_spicifera",53.2674772036474,75.2279635258359,68.6170212765958,46.8844984802432,77.5075987841945,68.3130699088146
"33","Acanthopleura_gemmata",56.0853199498118,76.9134253450439,67.1267252195734,46.8005018820577,76.7879548306148,64.7427854454203
"34","Acanthopleura_spinosa",49.2211838006231,67.4454828660436,61.6822429906542,44.392523364486,72.8971962616822,55.607476635514
"35","Acanthosphex_leurynnis",48.7531172069825,67.9551122194514,60.8478802992519,42.2693266832918,72.9426433915212,60.2244389027431
"36","Acanthosquilla_derijardi",51.6522988505747,73.8505747126437,66.7385057471264,45.4741379310345,76.5804597701149,67.5287356321839
"37","Acanthosquilla_multifasciata",51.566265060241,75.4216867469879,66.566265060241,44.5180722891566,76.9879518072289,66.2650602409639
"38","Acanthurus_achilles",58.1664910432034,76.8177028451001,77.5553213909378,51.422550052687,82.086406743941,70.7060063224447
"39","Acanthurus_albipectoralis",67.027027027027,88.3783783783784,86.2162162162162,57.027027027027,89.4594594594595,79.1891891891892
"40","Acanthurus_auranticavus",54.1708542713568,73.6683417085427,66.8341708542714,47.2361809045226,76.8844221105528,63.6180904522613
"41","Acanthurus_blochii",54.3243243243243,73.6936936936937,68.1981981981982,48.018018018018,76.7567567567568,64.8648648648649
"42","Acanthurus_dussumieri",51.5105740181269,72.4320241691843,66.1631419939577,45.392749244713,74.8489425981873,65.7099697885196
"43","Acanthurus_fowleri",51.7964071856287,71.8562874251497,62.5748502994012,45.059880239521,77.0958083832335,60.4790419161677
"44","Acanthurus_grammoptilus",77.5147928994083,93.491124260355,81.0650887573965,71.0059171597633,96.4497041420118,73.3727810650888
"45","Acanthurus_guttatus",54.0035587188612,74.7330960854093,69.3950177935943,48.6654804270463,79.6263345195729,67.6156583629893
"46","Acanthurus_japonicus",49.0437158469945,67.4863387978142,61.4754098360656,43.5792349726776,71.3114754098361,58.6065573770492
"47","Acanthurus_leucopareius",57.9792256846081,73.4655335221908,75.7318224740321,51.8413597733711,82.1529745042493,69.3106704438149
"48","Acanthurus_lineatus",53.6875495638382,75.8128469468676,69.4686756542427,47.0261697065821,77.8747026169707,67.8826328310864
"49","Acanthurus_maculiceps",51.8099547511312,70.814479638009,65.4977375565611,45.2488687782805,73.1900452488688,63.1221719457014
"50","Acanthurus_mata",52.8400597907324,74.5889387144992,67.5635276532138,45.5156950672646,77.6532137518684,68.4603886397608
"51","Acanthurus_nigricans",52.2542498152254,74.5011086474501,67.7753141167775,45.750184774575,77.3835920177384,68.5144124168514
"52","Acanthurus_nigricauda",53.9162112932605,73.4972677595628,68.0327868852459,48.2695810564663,76.8670309653916,65.0273224043716
"53","Acanthurus_nigrofuscus",53.5060975609756,75.3048780487805,69.0548780487805,46.875,77.6676829268293,68.0640243902439
"54","Acanthurus_nigroris",55.193661971831,73.8556338028169,69.2781690140845,49.2957746478873,80.3697183098592,68.2218309859155
"55","Acanthurus_nubilus",53.8956397426733,75.8398856325947,69.3352394567548,47.1765546819157,79.5568263045032,69.6926375982845
"56","Acanthurus_olivaceus",52.8938906752412,72.427652733119,66.3987138263666,46.2218649517685,75.8842443729904,66.5594855305466
"57","Acanthurus_pyroferus",53.203125,75.234375,68.203125,46.953125,78.359375,68.359375
"58","Acanthurus_thompsoni",53.4959349593496,73.8211382113821,66.1788617886179,47.8861788617886,77.1544715447154,66.6666666666667
"59","Acanthurus_triostegus",53.0035335689046,74.982332155477,68.2685512367491,46.1484098939929,77.8798586572438,68.9752650176678
"60","Acanthurus_xanthopterus",53.0163236337828,75.0887154009936,68.2753726046842,46.2739531582683,77.8566359119943,68.9850958126331
"61","Acar_domingensis",52.2277227722772,71.8646864686469,66.0891089108911,45.4620462046205,76.3201320132013,65.9240924092409
"62","Acar_plicata",52.8767123287671,74.9315068493151,68.2876712328767,45.958904109589,77.3972602739726,68.7671232876712
"63","Acarnus_caledoniensis",44.4444444444444,70.3703703703704,74.0740740740741,39.5061728395062,90.1234567901235,49.3827160493827
"64","Acartia_danae",63.6690647482014,77.6978417266187,69.7841726618705,57.5539568345324,92.4460431654676,69.7841726618705
"65","Acartia_negligens",100,100,100,100,100,100
