"","feature","MM-NorESM2-MM_Percentile_o2os_585","MM-IPSL-CM6A-LR_Percentile_o2os_585","MM-GFDL-ESM4_Percentile_o2os_585","MM-CMCC-ESM2_Percentile_o2os_585","MM-CanESM5_Percentile_o2os_585"
"4151","Hypoatherina_barnesi",34.0666666666667,34.0666666666667,34.65,31.8848167539267,34.0666666666667
"4152","Hypoatherina_ovalaua",34.2881355932203,34.5254237288136,34.2881355932203,33.8135593220339,33.6949152542373
"4153","Hypoatherina_temminckii",33.7105263157895,33.25,34.2775229357798,32.5612052730697,33.4342105263158
"4154","Hypoatherina_tropicalis",34.1515151515151,34.2575757575758,34.5757575757576,33.3030303030303,33.0909090909091
"4155","Hypoatherina_valenciennei",30.5080213903743,30.625,33.2633587786259,30.564738292011,30.0641025641026
"4156","Hypodistoma_deerratum",33.3253588516746,32.6555023923445,34.3301435406699,33.5314685314685,34.6650717703349
"4157","Hypogaleus_hyugaensis",30.9692898272553,32.2727272727273,33.8493150684931,31.5237020316027,31.6039603960396
"4158","Hyporhamphus_acutus",34.3655589123867,33.4138972809668,33.8368580060423,33.5145888594164,31.2990936555891
"4159","Hyporhamphus_affinis",34.1725768321513,33.3451536643026,34.4208037825059,32.7272727272727,32.6832151300236
"4160","Hyporhamphus_balinensis",33.7465564738292,32.5895316804408,34.6143250688705,32.2385321100917,32.5895316804408
"4161","Hyporhamphus_dussumieri",34.1463414634146,33.4634146341463,34.5731707317073,32.5815738963532,32.780487804878
"4162","Hyporthodus_octofasciatus",34.3025362318841,33.4782608695652,34.1123188405797,32.4441132637854,32.463768115942
"4163","Hypothalassia_armata",34.2193308550186,33.7639405204461,33.9591078066914,31.3023679417122,31.0162601626016
"4164","Hypseleotris_cyprinoides",34.2911392405063,33.1392405063291,34.4683544303797,31.7477876106195,31.2209302325581
"4165","Hypseleotris_guentheri",34.0443686006826,33.3276450511945,34.1638225255973,31.680216802168,33.6860068259386
"4166","Hypselodoris_infucata",33.8775510204082,32.9591836734694,34.5918367346939,31.8632075471698,31.6025641025641
"4167","Hypselodoris_nigrostriata",30.5051369863014,31.6567164179104,33.6308068459658,31.5686274509804,31.3604852686308
"4168","Hypsicomus_phaeotenia",30.3756476683938,31.8181818181818,32.9487179487179,34.0858208955224,33.955223880597
"4169","Hyrtios_erectus",34.0172786177106,32.732181425486,34.3952483801296,32.312091503268,32.8077753779698
"4170","Hyrtios_reticulatus",34.1796875,33.76953125,34.7265625,33.359375,32.12890625
"4171","Ianthella_basta",32.2222222222222,32.6388888888889,34.4444444444444,31.8098958333333,34.3055555555556
"4172","Iasis_cylindrica",31.4234592445328,32.675944333996,34.5268389662028,31.9244532803181,30.5328031809145
"4173","Ibacus_pubescens",34.018691588785,35,35,33.90625,34.018691588785
"4174","Ibla_cumingi",32.6027397260274,32.0034246575342,34.5205479452055,31.4836448598131,31.3442940038685
"4175","Icelopagurus_crosnieri",34.3965517241379,34.2155172413793,33.8534482758621,33.7327586206897,30.1120689655172
"4176","Icelopagurus_undulatus",34.5070422535211,35,35,34.5070422535211,32.7816901408451
"4177","Ichthyapus_vulturis",34.1108545034642,33.5450346420323,33.9491916859122,33.9583333333333,32.5750577367206
"4178","Ichthyococcus_elongatus",30.0877192982456,30.0877192982456,30.0877192982456,30.0877192982456,30.0877192982456
"4179","Ichthyococcus_intermedius",30.3001776198934,30.7726465364121,30.6980461811723,30.5571343990527,30.0017761989343
"4180","Ichthyococcus_ovatus",30.0025960539979,30.9548286604361,31.0602284527518,31.223779854621,30.9184839044652
"4181","Ichthyscopus_sannio",35,35,35,35,35
"4182","Icilius_caledoniana",35,35,35,35,30.679012345679
"4183","Idiacanthus_antrostomus",35,35,32.7083333333333,35,35
"4184","Idiacanthus_fasciola",30.0449512633671,30.680893347213,30.5616542064919,30.8630642566481,30.6014005867323
"4185","Idiellana_pristis",33.0383480825959,32.8318584070796,34.5870206489675,31.7703862660944,31.4363636363636
"4186","Idiolychnus_urolampus",34.4017094017094,32.008547008547,35,35,32.6068376068376
"4187","Ilisha_filigera",30.266393442623,31.3432835820896,34.4776119402985,31.241610738255,33.955223880597
"4188","Ilyograpsus_paludicola",30.1811594202899,32.1940928270042,33.8986013986014,31.5094339622642,34.5569620253165
"4189","Imbricaria_conovula",34.1116751269036,34.1116751269036,33.4010152284264,33.5786802030457,32.5126903553299
"4190","Imbricaria_conularis",34.2631578947368,33.7105263157895,34.4473684210526,31.7213114754098,31.0365853658537
"4191","Imbricaria_olivaeformis",34.228650137741,33.2644628099174,34.4214876033058,31.9312796208531,31.2279151943463
"4192","Imbricaria_punctata",34.1425389755011,33.0512249443207,33.9866369710468,32.6949740034662,32.6614699331848
"4193","Imbricaria_vanikoroensis",34.2045454545455,34.0909090909091,34.0909090909091,31.9914040114613,33.4090909090909
"4194","Indomitrella_conspersa",34.1993464052288,33.8562091503268,34.7712418300654,33.5130718954248,32.483660130719
"4195","Indopacetus_pacificus",30.0805793553652,30.8695430436556,30.8338433292534,31.2479600163199,30.6017951856385
"4196","Indothais_lacera",30.3149606299213,31.0045662100457,33.3969465648855,30.7605633802817,34.3607305936073
"4197","Inegocia_japonica",30.3444180522565,30.625,33.1208053691275,30.7231920199501,34.0120967741936
"4198","Inermonephtys_inermis",34.1725768321513,32.8486997635934,34.0898345153664,31.6388308977035,31.0501567398119
"4199","Inferiolabiata_lowei",35,35,35,35,32.7707006369427
"4200","Iniistius_baldwini",34.1025641025641,33.1360946745562,34.1025641025641,32.4961119751166,32.6528599605523
"4201","Iniistius_celebicus",34.1428571428571,34.8571428571429,33.7142857142857,33.4285714285714,32.5714285714286
"4202","Iniistius_melanopus",33.8268156424581,32.5558659217877,34.804469273743,31.4920273348519,31.2998266897747
"4203","Iniistius_pavo",34.2190669371197,32.3022312373225,34.4320486815416,32.1870170015456,32.7991886409736
"4204","Iniistius_pentadactylus",34.2341356673961,32.6258205689278,34.4638949671772,32.4333333333333,32.7024070021882
"4205","Inimicus_caledonicus",33.2339449541284,33.2339449541284,34.6788990825688,33.4782608695652,34.6788990825688
"4206","Inimicus_didactylus",34.1393442622951,32.4180327868852,34.8087431693989,31.4459161147903,32.896174863388
"4207","Inioteuthis_maculosa",32.6058631921824,33.1758957654723,34.5439739413681,32.0412371134021,33.8599348534202
"4208","Iotrochota_baculifera",33.0373831775701,32.3831775700935,34.5638629283489,31.4142538975501,33.6915887850467
"4209","Iotrochota_birotulata",34.2045454545455,33.4974747474747,34.0277777777778,31.981351981352,31.4163822525597
"4210","Iotyrris_cingulifera",34.2349726775956,33.8524590163934,34.6174863387978,31.9375,31.3394495412844
"4211","Iphiculus_spongiosus",30.4957805907173,31.4134275618375,33.4649122807018,31.3510638297872,33.886925795053
"4212","Iracundus_signifer",34.1738197424893,32.9721030042918,34.0236051502146,32.6079136690648,32.6716738197425
"4213","Iravadia_quadrasi",30.353982300885,31.8307086614173,33.796875,31.7321867321867,34.1732283464567
"4214","Ircinia_irregularis",34.0568862275449,33.7425149700599,34.5808383233533,33.3333333333333,33.5329341317365
