"","feature","MM-NorESM2-MM_Percentile_velocity_585","MM-IPSL-CM6A-LR_Percentile_velocity_585","MM-GFDL-ESM4_Percentile_velocity_585","MM-CMCC-ESM2_Percentile_velocity_585","MM-CanESM5_Percentile_velocity_585","EM_Percentile_velocity_585"
"4128","Hydrophis_ornatus",61.6222760290557,69.2493946731235,66.8280871670702,70.3389830508475,67.5544794188862,68.5230024213075
"4129","Hydrophis_spiralis",59.6045197740113,70.0564971751412,63.7005649717514,70.1977401129944,67.090395480226,68.361581920904
"4130","Hydropuntia_edulis",68.9260563380282,71.919014084507,67.9577464788732,73.6795774647887,69.8943661971831,72.0950704225352
"4131","Hygophum_hygomii",83.6943069306931,83.7252475247525,76.7945544554455,80.9715346534654,81.9616336633663,82.8898514851485
"4132","Hygophum_macrochir",47.5042541123086,57.7330308186803,57.4399697485347,58.5838532803933,49.8203819247495,61.4861032331254
"4133","Hygophum_proximum",46.7253109751907,45.436739742973,50.3298742354477,47.6840079719607,45.1996426362449,49.4639543673974
"4134","Hygophum_reinhardtii",52.831094049904,49.883037428023,56.1810220729367,53.2239683301344,49.7450815738964,54.7624760076775
"4135","Hymedesmia_parvispicula",47.3684210526316,47.3684210526316,84.2105263157895,42.1052631578947,78.9473684210526,47.3684210526316
"4136","Hymeniacidon_agminata",74.780701754386,71.9298245614035,67.5438596491228,76.7543859649123,67.7631578947368,75.8771929824561
"4137","Hymeniacidon_heliophila",70.4592901878914,74.2171189979123,67.3277661795407,73.9039665970772,69.3110647181628,73.7995824634656
"4138","Hymenocephalus_barbatulus",56.9711538461538,35.5769230769231,74.7596153846154,30.2884615384615,35.8173076923077,46.6346153846154
"4139","Hymenocephalus_striatulus",100,100,100,96.875,96.875,96.875
"4140","Hymenocera_picta",70.7943925233645,72.7414330218069,68.6915887850467,75.0778816199377,71.0280373831776,74.4548286604361
"4141","Hymenopenaeus_equalis",68.2140047206924,65.4996066089693,65.3422501966955,66.3257277734068,62.0377655389457,68.095987411487
"4142","Hyotissa_hyotis",70.2954898911353,72.3172628304821,68.2737169517885,74.7278382581649,70.2177293934681,73.3281493001555
"4143","Hyperhalosydna_striata",67.8260869565217,72.695652173913,65.9130434782609,73.0434782608696,68.6086956521739,70.695652173913
"4144","Hyperioides_longipes",82.2222222222222,83.7037037037037,76.9135802469136,83.9506172839506,80,84.1975308641975
"4145","Hyperoglyphe_japonica",97.5,100,100,90,92.5,95
"4146","Hyperoodon_planifrons",76.510067114094,75.1677852348993,77.8523489932886,96.6442953020134,50.3355704697987,89.9328859060403
"4147","Hypnea_boergesenii",60.6102635228849,70.873786407767,63.5228848821082,70.873786407767,67.2676837725381,68.9320388349515
"4148","Hypnea_musciformis",70.1977401129944,71.8926553672316,68.9265536723164,74.2937853107345,70.1977401129944,73.0932203389831
