"","feature","EM-Percentile-tos-585","EM-Percentile-tos-245","EM-Percentile-tos-126"
"5010","Metrodira_subulata",58.2089552238806,55.2238805970149,61.1940298507463
"5011","Mexichromis_mariei",64.035964035964,59.7402597402597,64.6353646353646
"5012","Micippa_philyra",56.158357771261,55.1319648093842,61.4369501466276
"5013","Micippa_platipes",68.5923515052888,64.9308380797396,68.9991863303499
"5014","Microbrotula_greenfieldi",94.4444444444444,94.4444444444444,88.8888888888889
"5015","Microcanthus_strigatus",77.7777777777778,78.5185185185185,81.4814814814815
"5016","Microcosmus_curvus",69.7485207100592,66.6420118343195,69.3786982248521
"5017","Microcosmus_exasperatus",69.2367601246106,66.3551401869159,68.8473520249221
"5018","Microcosmus_helleri",64.6292585170341,59.9198396793587,65.3306613226453
"5019","Microcystis_sanguinea",63.9871382636656,66.2379421221865,74.5980707395498
"5020","Microdaphne_morrisoni",69.6162881754111,66.5622552858262,69.1464369616288
"5021","Microeuraphia_withersi",59.9039615846339,55.9423769507803,62.1848739495798
"5022","Microfragum_festivum",65.4292343387471,60.015467904099,66.1252900232019
"5023","Microfragum_subfestivum",69.0384615384615,65.3846153846154,68.974358974359
"5024","Microgastra_granosa",63.4334763948498,58.5407725321888,65.2360515021459
"5025","Microgaza_fulgens",53.8243626062323,47.8753541076487,54.6742209631728
"5026","Micrognathus_andersonii",66.213768115942,61.9565217391304,65.3985507246377
"5027","Micrognathus_natans",62.7429805615551,57.9913606911447,63.8228941684665
"5028","Micrognathus_pygmaeus",64.3712574850299,59.7804391217565,65.5688622754491
"5029","Microliotia_koizumii",63.3802816901408,59.2957746478873,69.1549295774648
"5030","Microliotia_ohashii",63.4180790960452,59.180790960452,69.0677966101695
"5031","Micromelo_undatus",69.0295358649789,66.4135021097046,69.1983122362869
"5032","Micronephthys_sphaerocirrata",58.4440227703985,50.9171410499684,59.5825426944972
"5033","Micropagurus_polynesiensis",69.1939345570631,65.682362330407,68.5554668794892
"5034","Microphis_argulus",71.5953307392996,65.3696498054475,73.3463035019455
"5035","Microphis_brachyurus",69.9272433306386,67.0169765561843,70.0080840743735
"5036","Microphotolepis_multipunctata",57.2164948453608,54.2525773195876,60.5670103092783
"5037","Microprosthema_validum",58.8235294117647,54.1795665634675,62.2291021671827
"5038","Micropyga_tuberculata",64.2701525054466,61.8736383442266,74.2919389978213
