"","feature","MM-NorESM2-MM_Percentile_MHW_SumCumInt_585","MM-IPSL-CM6A-LR_Percentile_MHW_SumCumInt_585","MM-GFDL-ESM4_Percentile_MHW_SumCumInt_585","MM-CMCC-ESM2_Percentile_MHW_SumCumInt_585","MM-CanESM5_Percentile_MHW_SumCumInt_585","EM_Percentile_MHW_SumCumInt_585"
"6920","Pseudodax_moluccanus",69.2073170731707,81.1737804878049,84.375,82.8506097560976,77.6676829268293,75.9908536585366
"6921","Pseudodistoma_aureum",70.8994708994709,72.7513227513228,82.8042328042328,79.3650793650794,74.7354497354497,70.3703703703704
"6922","Pseudodistoma_fragile",69.1358024691358,76.8518518518518,83.1275720164609,81.6872427983539,76.5432098765432,71.9135802469136
"6923","Pseudofulvia_caledonica",64.022894521668,80.2943581357318,82.3385118560916,82.2567457072772,75.7154538021259,73.017170891251
"6924","Pseudogobius_javanicus",69.250645994832,70.2842377260982,81.7829457364341,77.6485788113695,73.5142118863049,68.4754521963824
"6925","Pseudogobius_melanostictus",68.7413554633472,69.432918395574,80.9128630705394,76.9017980636238,73.3056708160443,67.4965421853389
"6926","Pseudogramma_astigma",63.9494833524684,79.1044776119403,81.8599311136625,81.2858783008037,78.5304247990815,72.6750861079219
"6927","Pseudogramma_pectoralis",64.6489104116223,84.9878934624697,79.9031476997579,82.3244552058111,79.4188861985472,76.5133171912833
"6928","Pseudogramma_polyacantha",68.9189189189189,81.0810810810811,84.3093093093093,82.5825825825826,77.4774774774775,76.0510510510511
"6929","Pseudograpsus_albus",70.316301703163,79.7242497972425,84.5904298459043,83.4549878345499,78.9132197891322,76.0746147607462
"6930","Pseudohowella_intermedia",65.6145063801209,79.3821356615178,82.5386165211551,83.0758898589658,75.8226997985225,75.0167897918066
"6931","Pseudojuloides_atavai",71.2389380530973,87.7581120943953,85.5457227138643,85.693215339233,81.7109144542773,80.5309734513274
"6932","Pseudojuloides_elongatus",86.1538461538462,88.4615384615385,89.2307692307692,88.4615384615385,81.5384615384615,80.7692307692308
"6933","Pseudojuloides_mesostigma",69.2889561270802,79.7276853252648,84.2662632375189,82.6777609682299,77.1558245083207,75.2647503782148
"6934","Pseudojuloides_severnsi",69.413407821229,70.5307262569832,81.9832402234637,77.5139664804469,73.6033519553073,67.7374301675978
"6935","Pseudojuloides_splendens",70.1248049921997,79.5631825273011,84.399375975039,82.9173166926677,78.1591263650546,75.3510140405616
"6936","Pseudoliomera_granosimana",71.3214620431115,79.1940018744142,84.9109653233365,83.5051546391753,80.4123711340206,75.6326148078725
"6937","Pseudoliomera_speciosa",69.9376947040498,79.9844236760125,84.3457943925234,82.9439252336449,78.0373831775701,75.7788161993769
"6938","Pseudomonacanthus_macrurus",67.2881355932203,66.7796610169491,81.5254237288136,76.4406779661017,71.6949152542373,65.9322033898305
"6939","Pseudomonacanthus_peroni",70.1408450704225,72.3943661971831,82.9577464788732,78.169014084507,73.943661971831,69.1549295774648
"6940","Pseudopalicus_investigatoris",62.7946127946128,84.5117845117845,80.6397306397306,85.1851851851852,77.2727272727273,75.0841750841751
"6941","Pseudopalicus_oahuensis",68.5521885521886,80,81.6161616161616,81.5488215488216,74.4781144781145,74.8821548821549
"6942","Pseudopalicus_pictus",71.9951923076923,80.8894230769231,83.4134615384615,81.4903846153846,74.7596153846154,76.2019230769231
"6943","Pseudoplesiops_annae",68.1578947368421,78.0263157894737,81.8421052631579,80.2631578947368,77.5,71.5789473684211
"6944","Pseudoplesiops_immaculatus",67.9324894514768,78.4810126582278,83.0168776371308,81.7510548523207,76.1603375527426,72.3628691983122
"6945","Pseudoplesiops_revellei",68.1938325991189,82.4669603524229,84.4052863436123,83.5242290748899,80.0881057268722,75.7709251101322
"6946","Pseudoplesiops_rosae",67.5198587819947,77.4933804060018,82.8773168578994,81.6416593115622,75.7281553398058,73.0803177405119
