"","feature","EM_Feature_MHW_SumCumInt_585","EM_Feature_velocity_585","EM_Feature_o2os_585","EM_Feature_phos_585","EM_Feature_tos_585"
"4377","Laleonectes_nipponensis",64.1810070108349,66.0293180369662,51.0516252390057,45.4429572976418,62.1414913957935
"4378","Lambis_crocata",66.1363636363636,63.5606060606061,50.2272727272727,43.030303030303,60.2272727272727
"4379","Lambis_lambis",65.780998389694,62.7214170692432,51.1272141706924,43.8808373590982,59.5008051529791
"4380","Lambis_millepeda",50.9306260575296,48.5617597292724,42.4703891708968,50.253807106599,47.3773265651438
"4381","Lambis_scorpius",63.7281910009183,59.5959595959596,48.1175390266299,44.4444444444444,56.198347107438
"4382","Lambis_truncata",65.552099533437,64.3856920684292,51.3996889580093,44.0124416796268,61.2752721617418
"4383","Lamellodysidea_chlorea",64.9025069637883,59.4707520891365,60.3064066852368,47.075208913649,57.7994428969359
"4384","Lamellodysidea_herbacea",66.2659654395192,64.3876784372652,50.7137490608565,43.801652892562,60.7813673929376
"4385","Lamna_nasus",52.9411764705882,100,100,100,64.7058823529412
"4386","Lamnostoma_orientalis",66.2819455894477,62.0774938169827,51.1129431162407,43.5284418796373,59.0272052761748
"4387","Lamoha_murotoensis",57.6965669988926,56.1461794019934,50.609080841639,49.1694352159468,58.1395348837209
"4388","Lampadena_chavesi",60.1503759398496,93.2330827067669,72.9323308270677,69.9248120300752,37.593984962406
"4389","Lampadena_luminosa",41.4177265108942,41.8285188471524,44.2045417200697,47.789937230931,44.4082947188537
"4390","Lampadena_urophaos",42.450184501845,44.1918819188192,42.7749077490775,43.1557195571956,46.010332103321
"4391","Lampadioteuthis_megaleia",48.2352941176471,100,100,100,57.6470588235294
"4392","Lampanyctus_alatus",41.8436470157451,41.6788722079824,38.2872574148663,47.1896741120469,34.5935554741853
"4393","Lampanyctus_festivus",75.2985726769589,94.2324497524031,32.3332362365278,30.9933003204195,41.0428196912322
"4394","Lampanyctus_hubbsi",30.005136106831,30.005136106831,30.005136106831,72.6450950179764,30.005136106831
"4395","Lampanyctus_macropterus",68.958742632613,72.1021611001965,56.188605108055,77.9960707269155,70.9233791748527
"4396","Lampanyctus_nobilis",40.4854003354671,39.4242289391709,44.8841269297915,48.464724608907,45.3257111559922
"4397","Lampanyctus_photonotus",42.6184538653367,42.8990024937656,36.2344139650873,35.3615960099751,32.3441396508728
"4398","Lampanyctus_pusillus",48.2352941176471,100,100,100,57.6470588235294
"4399","Lampanyctus_steinbecki",41.7146994931209,43.6031860970311,41.6654598117306,42.5488776249095,45.1846488052136
"4400","Lampris_guttatus",43.150001425598,44.9120406010321,42.7223220140849,42.1093148575828,46.2321443845693
