"","feature","EM_Penalty_MHW_SumCumInt_585","EM_Penalty_velocity_585","EM_Penalty_o2os_585","EM_Penalty_phos_585","EM_Penalty_tos_585"
"7537","Setarches_longimanus",49.4133885438233,46.4458247066943,44.5134575569358,46.6528640441684,43.6853002070393
"7538","Siamosquilla_laevicaudata",49.165120593692,39.1465677179963,41.7439703153989,40.6307977736549,38.404452690167
"7539","Sicyonia_bispinosa",49.6138996138996,47.007722007722,46.2355212355212,45.8494208494209,45.0772200772201
"7540","Sicyonia_curvirostris",47.5044039929536,44.8620082207868,43.6288901937757,43.746330005872,43.1004110393423
"7541","Sicyonia_fallax",48.4962406015038,46.8671679197995,44.3609022556391,45.4887218045113,45.5513784461153
"7542","Sicyonia_inflexa",47.5423378769104,43.5357290375878,43.7009500206526,43.1639818256919,43.1226765799257
"7543","Sicyonia_laevigata",67.7272727272727,56.3636363636364,67.2727272727273,47.7272727272727,56.3636363636364
"7544","Sicyonia_laevis",50.9757539917209,47.3684210526316,47.5458308693081,46.481371969249,46.5996451803666
"7545","Sicyonia_lancifera",48.7477638640429,45.6171735241503,43.1127012522361,44.7227191413238,41.4132379248658
"7546","Sicyonia_picta",73.0538922155689,53.8922155688623,65.8682634730539,43.1137724550898,59.8802395209581
"7547","Sicyopterus_lagocephalus",53.3996683250415,46.4344941956882,50.6633499170813,46.1857379767828,45.6882255389718
"7548","Sicyopus_zosterophorus",50.7908611599297,37.9613356766257,42.0035149384886,39.3673110720562,40.9490333919156
"7549","Sigambra_bassi",65.1982378854625,59.6182085168869,61.2334801762115,46.4023494860499,54.1850220264317
"7550","Sigambra_constricta",32.6150445970479,31.6047043965585,30.5706843476202,44.4549688215329,30.0023679848449
"7551","Sigambra_tentaculata",66.8161434977578,56.5022421524664,67.2645739910314,46.6367713004484,55.6053811659193
"7552","Siganus_argenteus",51.2012012012012,46.3963963963964,49.2492492492492,44.6696696696697,45.1201201201201
"7553","Siganus_canaliculatus",43.9372325249643,37.5178316690442,38.6590584878745,43.7945791726106,35.09272467903
"7554","Siganus_doliatus",50.8577194752775,45.1059535822402,46.518668012109,46.1150353178607,43.5923309788093
"7555","Siganus_javus",45.7675753228121,38.8809182209469,41.4634146341463,44.6197991391679,35.8680057388809
"7556","Siganus_puellus",51.1270491803279,45.7991803278689,46.7213114754098,46.9262295081967,44.7745901639344
"7557","Siganus_punctatissimus",52.8735632183908,44.4444444444444,46.360153256705,48.9144316730524,43.8058748403576
"7558","Siganus_punctatus",49.8625114573786,45.096241979835,46.2878093492209,46.2878093492209,43.9046746104491
"7559","Siganus_randalli",44.5923460898502,37.603993344426,40.432612312812,42.4292845257904,39.2678868552413
"7560","Siganus_spinus",51.0542168674699,46.3855421686747,49.5481927710843,44.8795180722892,45.5572289156626
"7561","Siganus_stellatus",49.6940024479804,41.4932680538556,44.4308445532436,46.1444308445532,40.8812729498164
"7562","Siganus_unimaculatus",46.5924895688456,39.7774687065369,42.6981919332406,45.3407510431154,36.9958275382476
"7563","Siganus_vermiculatus",49.1317671092952,44.2288049029622,46.782431052094,46.0674157303371,42.9009193054137
"7564","Siganus_vulpinus",50.4024144869215,45.0704225352113,46.8812877263582,46.0764587525151,44.0643863179074
"7565","Sigillina_signifera",50.1424501424501,41.3105413105413,44.5868945868946,46.7236467236467,39.7435897435897
"7566","Sigmops_ebelingi",30.002321936495,30.487026179834,30.002321936495,30.6698786788181,30.002321936495
"7567","Sigmops_elongatus",30.6621463502445,30.5181362695389,30.9771684017881,31.1961837328613,30.8451591611413
"7568","Sigmops_gracilis",83.9721254355401,100,44.9477351916376,42.8571428571429,30.3135888501742
"7569","Signigobius_biocellatus",52.2405660377358,46.3443396226415,46.8160377358491,48.2311320754717,44.6933962264151
"7570","Siliquaria_cumingii",42.9738562091503,38.7254901960784,38.7254901960784,41.8300653594771,35.4575163398693
"7571","Simenchelys_parasitica",45.0086058519793,42.6850258175559,43.4595524956971,50,42.7710843373494
"7572","Simorhynchotus_antennarius",47.5558659217877,45.8100558659218,44.9022346368715,44.4832402234637,44.622905027933
"7573","Sinezona_ferriezi",47.0029239766082,45.3216374269006,43.4941520467836,45.6140350877193,43.4941520467836
"7574","Sinezona_macleani",42.9331306990881,39.855623100304,40.1595744680851,40.4635258358663,40.5015197568389
"7575","Sinezona_plicata",49.0671641791045,46.2064676616915,45.9577114427861,46.952736318408,46.952736318408
"7576","Sinophiura_multispina",50.3333333333333,42,43.2222222222222,43.6666666666667,41.3333333333333
"7577","Sinosquilla_sinica",50.0699300699301,44.3356643356643,42.2377622377622,50.0699300699301,40.979020979021
"7578","Sinustrombus_taurus",44.0191387559809,40.1913875598086,52.1531100478469,48.3253588516746,52.1531100478469
"7579","Siokunichthys_herrei",55.9375,53.4375,54.0625,54.0625,52.03125
"7580","Siphamia_argentea",53.2710280373832,45.7943925233645,43.613707165109,51.4018691588785,42.9906542056075
"7581","Siphamia_cuneiceps",53.7223340040241,47.6861167002012,53.9235412474849,52.5150905432596,47.0824949698189
"7582","Siphamia_fistulosa",39.646017699115,36.283185840708,33.6283185840708,44.2477876106195,31.6814159292035
"7583","Siphamia_guttulata",44.4055944055944,38.6363636363636,40.034965034965,41.2587412587413,36.3636363636364
"7584","Siphamia_jebbi",51.3851653261841,45.4870420017873,47.5424486148347,47.8999106344951,46.0232350312779
"7585","Siphamia_majimai",51.8676627534685,46.8516542155816,46.6382070437567,46.6382070437567,44.290288153682
"7586","Siphamia_spinicola",50.8341511285574,45.7311089303238,47.0068694798822,46.5161923454367,44.3572129538763
"7587","Siphamia_tubifer",51.5957446808511,46.048632218845,47.8723404255319,43.693009118541,44.4528875379939
"7588","Siphamia_tubulata",50.070323488045,41.4908579465542,43.7412095639944,46.5541490857947,40.084388185654
"7589","Siphonaria_atra",49.0885416666667,40.7552083333333,43.8802083333333,45.4427083333333,39.0625
