"","feature","EM_Penalty_velocity_585","EM_Penalty_o2os_585","EM_Penalty_phos_585","EM_Penalty_tos_585"
"2034","Conus_baileyi",49.618966977138,46.740050804403,42.2523285351397,47.7561388653683
"2035","Conus_balteatus",44.7342995169082,44.3478260869565,45.9903381642512,42.6086956521739
"2036","Conus_bandanus",41.8100224382947,40.1645474943904,42.4831712789828,38.9678384442782
"2037","Conus_betulinus",42.4543946932007,42.9519071310116,43.8640132669983,40.8789386401327
"2038","Conus_biliosus",42.0190995907231,41.3369713506139,47.612551159618,40.1091405184175
"2039","Conus_boeticus",39.5657418576598,37.7563329312425,46.6827503015682,37.9975874547648
"2040","Conus_boholensis",42.3545331529093,42.3545331529093,42.3545331529093,42.5575101488498
"2041","Conus_bullatus",45.0946643717728,44.1480206540447,45.1807228915663,42.9432013769363
"2042","Conus_canonicus",44.4554455445545,42.970297029703,45.3465346534653,41.1881188118812
"2043","Conus_capitaneus",41.5373244641537,41.6112342941611,42.8677014042868,40.2069475240207
"2044","Conus_catus",43.563579277865,42.3861852433281,44.0345368916797,41.287284144427
"2045","Conus_chaldaeus",43.4883720930233,42.6356589147287,44.1860465116279,41.2403100775194
"2046","Conus_cinereus",39.4545454545455,44.5454545454545,50.1818181818182,39.6363636363636
"2047","Conus_circumactis",46.2671905697446,46.5618860510805,46.9548133595285,44.5972495088409
"2048","Conus_circumcisus",41.9117647058824,35.1102941176471,43.6580882352941,35.3860294117647
"2049","Conus_coccineus",45.224171539961,45.224171539961,46.3937621832359,43.2748538011696
"2050","Conus_coelinae",57.201646090535,51.8518518518518,45.679012345679,52.2633744855967
"2051","Conus_coffeae",44.1235059760956,42.4302788844622,45.0199203187251,40.7370517928287
"2052","Conus_consors",42.972972972973,42.5225225225225,44.5045045045045,40.6306306306306
"2053","Conus_coronatus",43.289371605896,42.8238944918542,43.9875872769589,41.1947245927075
"2054","Conus_crocatus",45.0151057401813,42.3967774420947,44.7129909365559,40.6847935548842
"2055","Conus_cylindraceus",42.7811550151976,41.4893617021277,43.693009118541,40.5775075987842
"2056","Conus_distans",43.2847896440129,42.3948220064725,44.4174757281553,40.453074433657
"2057","Conus_dusaveli",44.43359375,42.28515625,45.21484375,40.625
"2058","Conus_ebraeus",44.8275862068966,40.8045977011494,42.2413793103448,40.3256704980843
"2059","Conus_eburneus",41.8990203466466,41.8990203466466,43.4815373021854,40.1657874905803
"2060","Conus_eldredi",50,41.7151162790698,42.0058139534884,42.296511627907
"2061","Conus_emaciatus",40.1792991035045,41.8907905460473,43.6022819885901,40.0162999185004
"2062","Conus_encaustus",51.4800514800515,41.4414414414414,41.3127413127413,43.3719433719434
"2063","Conus_episcopatus",43.8419117647059,43.3823529411765,45.1286764705882,41.2683823529412
"2064","Conus_eugrammatus",41.9329073482428,34.5047923322684,42.0127795527157,36.2619808306709
"2065","Conus_excelsus",41.9585418155826,43.5310936383131,43.6740528949249,41.458184417441
"2066","Conus_exiguus",56.4643799472295,54.353562005277,40.1055408970976,51.4511873350923
"2067","Conus_ferrugineus",44.0709617180205,43.7908496732026,45.5648926237162,41.8300653594771
"2068","Conus_figulinus",43.4036939313984,40.5013192612137,47.2295514511873,39.4459102902375
"2069","Conus_flavidus",44.0093970242756,42.9913860610807,44.0093970242756,41.425215348473
"2070","Conus_floridulus",40.453074433657,42.5566343042071,44.6601941747573,40.453074433657
"2071","Conus_frigidus",43.7650844730491,43.2019308125503,44.7304907481899,42.0756234915527
"2072","Conus_generalis",44.9470644850818,44.2733397497594,45.8132820019249,42.3484119345525
"2073","Conus_geographus",43.4571890145396,43.1340872374798,44.4264943457189,41.0339256865913
"2074","Conus_glans",44.4340505144995,43.8727782974743,45.7436856875585,41.8147801683817
"2075","Conus_granum",40.353982300885,41.2389380530973,44.5132743362832,40.0884955752212
"2076","Conus_imperialis",42.4287856071964,41.6791604197901,43.2533733133433,40.6296851574213
"2077","Conus_kimioi",41.9457735247209,43.4609250398724,44.6570972886762,41.1483253588517
"2078","Conus_kinoshitai",41.6010498687664,39.501312335958,47.9002624671916,39.238845144357
"2079","Conus_lamberti",33.8842975206612,85.9504132231405,49.5867768595041,66.1157024793389
"2080","Conus_legatus",40.5329593267882,41.0238429172511,42.5666199158485,39.6914446002805
"2081","Conus_leopardus",43.613707165109,42.6791277258567,44.2367601246106,41.2772585669782
"2082","Conus_lienardi",34.8314606741573,98.876404494382,44.9438202247191,83.1460674157303
"2083","Conus_lischkeanus",54.7433903576983,57.542768273717,53.4992223950233,52.4105754276827
"2084","Conus_litoglyphus",42.4924924924925,41.7417417417417,43.1681681681682,40.6156156156156
"2085","Conus_litteratus",43.3489827856025,42.6447574334898,44.0532081377152,41.3145539906103
"2086","Conus_lividus",43.140243902439,42.4542682926829,43.5213414634146,41.0060975609756
"2087","Conus_luteus",55.1045510455105,49.3234932349324,44.8954489544895,50.6765067650676
"2088","Conus_magnificus",43.28125,42.890625,44.296875,41.25
"2089","Conus_magus",47.172619047619,41.3690476190476,46.577380952381,42.5595238095238
"2090","Conus_marmoreus",43.2965299684543,42.9022082018927,44.3217665615142,41.3249211356467
"2091","Conus_mcbridei",42.3817863397548,42.1190893169877,43.6077057793345,40.7180385288967
"2092","Conus_miles",43.5054773082942,43.1142410015649,44.3661971830986,41.3928012519562
"2093","Conus_miliaris",41.1651420317766,39.2874337987482,40.9244102070294,40.2503610977371
"2094","Conus_miniexcelsus",41.6118421052632,43.0098684210526,44.983552631579,40.5427631578947
"2095","Conus_mitratus",41.3080895008606,42.9432013769363,44.4922547332186,40.7917383820998
"2096","Conus_moluccensis",40.2739726027397,41.7808219178082,43.013698630137,39.6575342465753
"2097","Conus_monachus",45.5456570155902,41.9821826280624,46.6592427616926,40.8685968819599
"2098","Conus_moreleti",47.0479704797048,45.6642066420664,46.4022140221402,44.5571955719557
"2099","Conus_muriculatus",43.2606941081517,43.3414043583535,44.5520581113801,41.3236481033091
"2100","Conus_musicus",44.5610687022901,43.7022900763359,45.5152671755725,41.6984732824427
"2101","Conus_mustelinus",45.4337899543379,42.5799086757991,47.0319634703196,41.8949771689498
"2102","Conus_nanus",44.2211055276382,42.3785594639866,41.42936906756,42.3785594639866
"2103","Conus_nielsenae",67.9144385026738,66.3101604278075,49.7326203208556,63.1016042780749
"2104","Conus_nucleus",44.9897750511247,42.9447852760736,45.6032719836401,41.2065439672802
"2105","Conus_nussatella",43.6018957345972,42.654028436019,44.1548183254344,41.3112164296998
"2106","Conus_obscurus",43.4035909445745,42.7790788446526,44.2622950819672,41.3739266198283
"2107","Conus_omaria",40.3536977491961,41.8810289389068,43.8102893890675,39.7106109324759
"2108","Conus_orbignyi",45.3968253968254,43.8095238095238,46.8783068783069,42.6455026455026
"2109","Conus_parius",43.30900243309,37.712895377129,44.1605839416058,36.7396593673966
"2110","Conus_pennaceus",42.3529411764706,41.9852941176471,42.7205882352941,40.2941176470588
"2111","Conus_pertusus",40.9614082599865,41.9092755585647,42.9925524712255,40.2843601895735
"2112","Conus_planorbis",44.5817490494297,44.106463878327,46.0076045627376,41.9201520912548
"2113","Conus_praecellens",40.2505873140172,41.9733750978857,43.7744714173845,39.7807361002349
"2114","Conus_pulicarius",42.8352490421456,42.5287356321839,43.448275862069,41.1494252873563
"2115","Conus_quercinus",42.1248142644874,41.9762258543834,42.7934621099554,40.4160475482912
"2116","Conus_radiatus",41.1499436302142,38.2187147688839,46.1104847801578,37.9932356257046
"2117","Conus_rattus",43.4108527131783,42.9457364341085,43.953488372093,41.2403100775194
"2118","Conus_retifer",44.6054750402576,42.914653784219,44.2028985507246,42.5925925925926
"2119","Conus_saecularis",43.4587813620072,35.663082437276,43.3691756272401,36.9175627240143
"2120","Conus_sanguinolentus",43.6708860759494,42.8006329113924,44.7784810126582,41.6930379746835
"2121","Conus_sazanka",43.75,44.375,45.9821428571429,41.9642857142857
"2122","Conus_sculletti",54.9019607843137,90.1960784313726,70.5882352941177,84.3137254901961
"2123","Conus_spectrum",42.570281124498,42.1686746987952,48.326639892905,40.4283801874163
"2124","Conus_sponsalis",43.4312210200927,42.4265842349304,44.1267387944359,41.1901081916538
"2125","Conus_stercusmuscarum",43.5723951285521,41.0013531799729,47.9025710419486,39.6481732070365
"2126","Conus_striatellus",41.6781292984869,39.6148555708391,46.9050894085282,38.2393397524072
"2127","Conus_striatus",43.1660231660232,42.6254826254826,43.9382239382239,41.003861003861
"2128","Conus_sugillatus",50.1941747572816,46.504854368932,41.4563106796117,48.9320388349515
"2129","Conus_sulcatus",38.4318766066838,39.0745501285347,47.5578406169666,38.4318766066838
"2130","Conus_sulcocastaneus",38.136826783115,40.3202328966521,48.9082969432314,40.4657933042213
"2131","Conus_suratensis",40.7252440725244,39.6094839609484,47.0013947001395,38.3542538354254
"2132","Conus_suturatus",47.766323024055,47.766323024055,51.3745704467354,45.360824742268
"2133","Conus_swainsoni",40.7407407407407,79.2592592592593,51.1111111111111,67.4074074074074
"2134","Conus_tenuistriatus",40.1217861975643,39.2422192151556,41.9485791610284,37.5507442489851
"2135","Conus_terebra",43.0098684210526,43.2565789473684,44.7368421052632,40.7894736842105
"2136","Conus_tessulatus",42.9347826086957,42.7018633540373,43.7111801242236,40.9937888198758
"2137","Conus_textile",43.3544303797468,42.8006329113924,44.0664556962025,41.1392405063291
"2138","Conus_tirardi",38.562091503268,81.6993464052288,53.5947712418301,71.2418300653595
"2139","Conus_tulipa",43.2965299684543,42.3501577287066,43.9274447949527,40.7728706624606
"2140","Conus_varius",39.609375,41.484375,43.203125,39.140625
"2141","Conus_vexillum",43.2183908045977,42.6053639846743,43.6781609195402,40.9195402298851
"2142","Conus_vimineus",41.2162162162162,40,45.2702702702703,39.0540540540541
"2143","Conus_viola",40.8104196816208,40.2315484804631,47.4674384949349,38.3502170767004
"2144","Conus_virgo",43.0023455824863,42.6896012509773,44.0969507427678,40.8131352619234
"2145","Conus_vitulinus",44.2144873000941,41.9567262464723,44.0263405456256,40.5456255879586
"2146","Conus_voluminalis",39.3665158371041,39.8190045248869,48.2654600301659,39.0648567119155
"2147","Conus_zeylanicus",38.1401617250674,38.6792452830189,45.5525606469003,37.6010781671159
"2148","Cookeolus_japonicus",41.2175015852885,42.6125554850983,42.6125554850983,40.4565630944832
"2149","Copilia_mirabilis",40.407204385278,41.9733750978857,44.087705559906,39.5458104933438
"2150","Copilia_quadrata",40.3453689167975,41.9937205651491,44.1915227629513,39.7174254317111
"2151","Coradion_altivelis",43.1880108991826,42.5068119891008,49.3188010899183,41.1444141689373
"2152","Coradion_chrysozonus",40.2241594022416,39.4769613947696,45.5790784557908,38.9788293897883
"2153","Coralanthura_endeavourae",60.6299212598425,58.2677165354331,42.9133858267717,55.1181102362205
"2154","Coralichlamys_madreporarum",31.0101991257892,35.3994657600777,33.5235551238465,33.5903351141331
"2155","Corallianassa_coutierei",43.8156831042846,43.1689571544058,44.3815683104285,41.552142279709
"2156","Coralliocaris_graminea",43.4022257551669,43.0842607313196,44.4356120826709,41.1764705882353
"2157","Coralliocaris_nudirostris",43.7106918238994,43.1603773584906,44.1037735849057,41.5094339622642
"2158","Coralliocaris_superba",43.4984520123839,42.7244582043344,44.0402476780186,41.0990712074303
"2159","Coralliocaris_viridis",40.4454865181712,40.6799531066823,46.6588511137163,38.6869871043376
"2160","Coralliogalathea_humilis",44.4444444444444,43.8552188552189,43.9393939393939,42.6767676767677
"2161","Coralliophaga_coralliophaga",40.9631728045326,40.6232294617564,40.8498583569405,39.3201133144476
"2162","Coralliophila_abnormis",43.2862190812721,45.2296819787986,45.4063604240283,43.0212014134276
