feature,EM_Percentile_tos_585,MM-NorESM2-MM_Percentile_tos_585,MM-IPSL-CM6A-LR_Percentile_tos_585,MM-GFDL-ESM4_Percentile_tos_585,MM-CMCC-ESM2_Percentile_tos_585,MM-CanESM5_Percentile_tos_585
Streetsia_porcella,31.204819277108395,32.301204819277096,32.55421686746985,33.3975903614458,33.81927710843374,33.31325301204817
Streetsia_steenstrupi,31.462765957446805,32.57978723404258,32.57978723404258,33.51063829787233,33.69680851063828,33.32446808510638
Striarca_symmetrica,31.094091903719875,32.39606126914661,33.238512035010935,33.927789934354465,33.927789934354465,33.31509846827134
Striatobalanus_amaryllis,33.04985337243401,31.715542521994095,33.76832844574777,34.07624633431088,33.870967741935516,32.84457478005865
Striatobalanus_tenuis,32.76595744680853,31.648936170212757,33.51063829787233,34.441489361702146,33.976063829787236,33.04521276595742
Strigopagurus_boreonotus,31.10377358490563,32.68867924528304,31.96226415094342,34.20754716981133,33.877358490566,33.15094339622639
Striodentalium_rhabdotum,32.07882534775891,32.6738794435858,32.83616692426581,34.94590417310664,33.91808346213294,33.75579598145286
Striodentalium_thetidis,32.99283154121864,32.491039426523294,33.99641577060932,34.49820788530466,34.24731182795699,33.24372759856631
Strobopagurus_gracilipes,30.020920502092025,32.119944211994444,31.29009762900973,32.80334728033475,33.68200836820085,31.43654114365415
Stromatospongia_micronesica,32.393617021276555,33.32446808510638,33.69680851063828,34.441489361702146,33.88297872340423,33.69680851063828
Strombus_aurisdianae,32.252066115702505,31.81818181818185,33.84297520661155,33.409090909090885,33.55371900826449,33.264462809917354
Strombus_bulla,30.419753086419757,32.4283154121864,33.44444444444446,33.79012345679012,34.135802469135776,33.185185185185176
Strombus_canarium,32.586206896551694,31.25862068965517,33.9137931034483,33.672413793103466,33.55172413793102,32.94827586206898
Strombus_dentatus,31.014492753623188,32.28940217391301,33.333333333333314,33.55072463768116,33.91304347826087,33.188405797101446
Strombus_epidromis,30.94632768361582,32.1621621621622,33.61581920903954,34.307909604519736,34.01129943502823,33.121468926553696
Strombus_gibberulus,30.741150442477856,32.1664167916042,33.37389380530975,33.761061946902636,33.91592920353981,33.21902654867258
Strombus_haemastoma,32.3235294117647,33.14705882352942,33.35294117647058,34.38235294117645,33.97058823529412,33.76470588235297
Strombus_labiatus,32.682926829268304,31.829268292682908,34.024390243902445,34.26829268292682,34.024390243902445,33.0487804878049
Strombus_latissimus,31.467889908256897,32.37967914438502,33.715596330275226,34.357798165137574,34.14373088685013,33.28746177370033
Strombus_lentiginosus,30.934343434343436,32.24650349650352,33.585858585858595,34.027777777777764,34.20454545454548,33.143939393939426
Strombus_luhuanus,30.84745762711865,32.0701357466063,33.61581920903954,34.307909604519736,34.1101694915254,33.220338983050866
Strombus_marginatus,32.23320158102765,31.679841897233178,34.03162055335966,33.20158102766799,33.61660079051386,33.06324110671939
Strombus_microurceus,30.81521739130436,32.14673913043481,33.38315217391301,34.144021739130444,34.144021739130444,33.19293478260872
Strombus_minimus,32.50988142292492,31.679841897233178,34.169960474308326,33.47826086956519,33.61660079051386,33.06324110671939
Strombus_mutabilis,30.69351230425053,32.34042553191492,33.35570469798658,33.74720357941835,34.217002237136455,33.199105145413895
Strombus_sinuatus,31.19363395225462,32.12201591511934,33.23607427055706,34.07161803713528,34.07161803713528,33.05039787798406
