solutions,scenario,model,metric,approach
s323,SSP1-2.6,CMCC-ESM2,MHW_SumCumInt,percentile
s324,SSP1-2.6,GFDL-ESM4,MHW_SumCumInt,percentile
s325,SSP1-2.6,IPSL-CM6A-LR,MHW_SumCumInt,percentile
s326,SSP1-2.6,NorESM2-MM,MHW_SumCumInt,percentile
s327,SSP1-2.6,CanESM5,MHW_SumCumInt,feature
s328,SSP1-2.6,CMCC-ESM2,MHW_SumCumInt,feature
s329,SSP1-2.6,GFDL-ESM4,MHW_SumCumInt,feature
s330,SSP1-2.6,IPSL-CM6A-LR,MHW_SumCumInt,feature
s331,SSP1-2.6,NorESM2-MM,MHW_SumCumInt,feature
s332,SSP1-2.6,CanESM5,MHW_SumCumInt,penalty
s333,SSP1-2.6,CMCC-ESM2,MHW_SumCumInt,penalty
s334,SSP1-2.6,GFDL-ESM4,MHW_SumCumInt,penalty
s335,SSP1-2.6,IPSL-CM6A-LR,MHW_SumCumInt,penalty
s336,SSP1-2.6,NorESM2-MM,MHW_SumCumInt,penalty
s337,SSP1-2.6,CanESM5,MHW_SumCumInt,climate priority area
s338,SSP1-2.6,CMCC-ESM2,MHW_SumCumInt,climate priority area
s339,SSP1-2.6,GFDL-ESM4,MHW_SumCumInt,climate priority area
s340,SSP1-2.6,IPSL-CM6A-LR,MHW_SumCumInt,climate priority area
s341,SSP1-2.6,NorESM2-MM,MHW_SumCumInt,climate priority area
s342,SSP2-4.5,CanESM5,MHW_SumCumInt,percentile
s343,SSP2-4.5,CMCC-ESM2,MHW_SumCumInt,percentile
s344,SSP2-4.5,GFDL-ESM4,MHW_SumCumInt,percentile
s345,SSP2-4.5,IPSL-CM6A-LR,MHW_SumCumInt,percentile
s346,SSP2-4.5,NorESM2-MM,MHW_SumCumInt,percentile
s347,SSP2-4.5,CanESM5,MHW_SumCumInt,feature
s348,SSP2-4.5,CMCC-ESM2,MHW_SumCumInt,feature
s349,SSP2-4.5,GFDL-ESM4,MHW_SumCumInt,feature
s350,SSP2-4.5,IPSL-CM6A-LR,MHW_SumCumInt,feature
s351,SSP2-4.5,NorESM2-MM,MHW_SumCumInt,feature
s352,SSP2-4.5,CanESM5,MHW_SumCumInt,penalty
s353,SSP2-4.5,CMCC-ESM2,MHW_SumCumInt,penalty
s354,SSP2-4.5,GFDL-ESM4,MHW_SumCumInt,penalty
s355,SSP2-4.5,IPSL-CM6A-LR,MHW_SumCumInt,penalty
s356,SSP2-4.5,NorESM2-MM,MHW_SumCumInt,penalty
s357,SSP2-4.5,CanESM5,MHW_SumCumInt,climate priority area
s358,SSP2-4.5,CMCC-ESM2,MHW_SumCumInt,climate priority area
s359,SSP2-4.5,GFDL-ESM4,MHW_SumCumInt,climate priority area
s360,SSP2-4.5,IPSL-CM6A-LR,MHW_SumCumInt,climate priority area
s361,SSP2-4.5,NorESM2-MM,MHW_SumCumInt,climate priority area
